Position: x=-1.5094792363266394e-06, y=2.7612094798409716e-13, z=0.0, w=-7.15634898111242e-07
Position: x=-1.5092337950386789e-06, y=2.759453015722943e-13, z=0.0, w=-7.156353927382422e-07
Position: x=-1.5089883541766002e-06, y=2.757696553439394e-13, z=0.0, w=-7.156358867648454e-07
Position: x=-1.5087429129190598e-06, y=2.7559400871116396e-13, z=0.0, w=-7.15636382092309e-07
Position: x=-1.5084974719657206e-06, y=2.7541836217480686e-13, z=0.0, w=-7.156368750181842e-07
Position: x=-1.5082520305256596e-06, y=2.75242715168953e-13, z=0.0, w=-7.156373695451182e-07
Position: x=-1.5080065866215697e-06, y=2.7506706627855405e-13, z=0.0, w=-7.1563786257106e-07
Position: x=-1.5077611402838709e-06, y=2.74891415526102e-13, z=0.0, w=-7.156383511940907e-07
Position: x=-1.5075156937940716e-06, y=2.747157645443176e-13, z=0.0, w=-7.156388443200987e-07
Position: x=-1.5072702471825918e-06, y=2.7454011335466344e-13, z=0.0, w=-7.156393354447837e-07
Position: x=-1.50702480002355e-06, y=2.743644616523372e-13, z=0.0, w=-7.156398287709238e-07
Position: x=-1.5067793530166087e-06, y=2.741888099374677e-13, z=0.0, w=-7.156403245987179e-07
Position: x=-1.5065339057967268e-06, y=2.7401315794842375e-13, z=0.0, w=-7.15640821126975e-07
Position: x=-1.5062884579988626e-06, y=2.7383750542431037e-13, z=0.0, w=-7.156413141529165e-07
Position: x=-1.5060430104747793e-06, y=2.736618529752735e-13, z=0.0, w=-7.156418058779985e-07
Position: x=-1.5057975625552349e-06, y=2.7348620012237553e-13, z=0.0, w=-7.156422989039402e-07
Position: x=-1.5055521147269505e-06, y=2.733105472139102e-13, z=0.0, w=-7.15642790829154e-07
Position: x=-1.5053066660773234e-06, y=2.731348935963373e-13, z=0.0, w=-7.156432874574774e-07
Position: x=-1.505061217914418e-06, y=2.729592402054326e-13, z=0.0, w=-7.156437820844772e-07
Position: x=-1.5048157691735305e-06, y=2.7278358627928445e-13, z=0.0, w=-7.156442784126023e-07
Position: x=-1.5045703203718027e-06, y=2.726079321888783e-13, z=0.0, w=-7.156447657347733e-07
Position: x=-1.5043248712658737e-06, y=2.724322777601035e-13, z=0.0, w=-7.156452616626336e-07
Position: x=-1.504079421095241e-06, y=2.7225662244847584e-13, z=0.0, w=-7.156457508860613e-07
Position: x=-1.503833970316206e-06, y=2.7208096658107295e-13, z=0.0, w=-7.15646242511077e-07
Position: x=-1.5035885162517991e-06, y=2.7190530824217925e-13, z=0.0, w=-7.156467313342398e-07
Position: x=-1.5033430618223507e-06, y=2.7172964952247863e-13, z=0.0, w=-7.156472167551537e-07
Position: x=-1.5030976072408019e-06, y=2.7155399057434914e-13, z=0.0, w=-7.156477056783834e-07
Position: x=-1.5028521534197559e-06, y=2.713783320506968e-13, z=0.0, w=-7.156481927003557e-07
Position: x=-1.5026066984427456e-06, y=2.7120267258026363e-13, z=0.0, w=-7.15648679522196e-07
Position: x=-1.5023612442870783e-06, y=2.7102701357819226e-13, z=0.0, w=-7.156491658437055e-07
Position: x=-1.502115788732086e-06, y=2.708513534555216e-13, z=0.0, w=-7.156496505641562e-07
Position: x=-1.5018703329945729e-06, y=2.706756930832035e-13, z=0.0, w=-7.156501356848715e-07
Position: x=-1.501624877835042e-06, y=2.705000330055289e-13, z=0.0, w=-7.156506201051243e-07
Position: x=-1.501379421854168e-06, y=2.7032437222092265e-13, z=0.0, w=-7.156511064266338e-07
Position: x=-1.5011339660253946e-06, y=2.701487114263495e-13, z=0.0, w=-7.156515882451661e-07
Position: x=-1.50088850983158e-06, y=2.6997305025219507e-13, z=0.0, w=-7.156520706640956e-07
Position: x=-1.500643053059783e-06, y=2.697973885458831e-13, z=0.0, w=-7.156525539836204e-07
Position: x=-1.5003975962879861e-06, y=2.6962172672120715e-13, z=0.0, w=-7.156530351016895e-07
Position: x=-1.5001521395161895e-06, y=2.69446064777971e-13, z=0.0, w=-7.156535200222727e-07
Position: x=-1.4999066822880909e-06, y=2.6927040238987827e-13, z=0.0, w=-7.15653999038953e-07
Position: x=-1.4996612242082292e-06, y=2.690947392743449e-13, z=0.0, w=-7.156544804572211e-07
Position: x=-1.4994157659154267e-06, y=2.6891907588850926e-13, z=0.0, w=-7.156549597740994e-07
Position: x=-1.4991703079572456e-06, y=2.687434126245317e-13, z=0.0, w=-7.156554387907797e-07
Position: x=-1.4989248486909998e-06, y=2.6856774830615165e-13, z=0.0, w=-7.156559235112304e-07
Position: x=-1.4986793901244164e-06, y=2.6839208436912953e-13, z=0.0, w=-7.156564113337321e-07
Position: x=-1.4984339319837145e-06, y=2.682164206177417e-13, z=0.0, w=-7.156568943530583e-07
Position: x=-1.4981884724741076e-06, y=2.68040755768335e-13, z=0.0, w=-7.156573756712601e-07
Position: x=-1.497943011899797e-06, y=2.678650900387347e-13, z=0.0, w=-7.156578576899247e-07
Position: x=-1.4976975492569186e-06, y=2.676894227105044e-13, z=0.0, w=-7.156583391081925e-07
Position: x=-1.4974520864315198e-06, y=2.675137551339482e-13, z=0.0, w=-7.156588167239466e-07
Position: x=-1.497206624457884e-06, y=2.6733808804930943e-13, z=0.0, w=-7.156592977419498e-07
Position: x=-1.4969611607198816e-06, y=2.671624195838642e-13, z=0.0, w=-7.156597791602179e-07
Position: x=-1.496715696586418e-06, y=2.669867507176623e-13, z=0.0, w=-7.156602570761701e-07
Position: x=-1.496470233183037e-06, y=2.668110822565175e-13, z=0.0, w=-7.156607359927842e-07
Position: x=-1.496224768684532e-06, y=2.6663541289398055e-13, z=0.0, w=-7.156612157099269e-07
Position: x=-1.4959793037297254e-06, y=2.6645974308766063e-13, z=0.0, w=-7.156616911242259e-07
Position: x=-1.4957338389574395e-06, y=2.6628407329538915e-13, z=0.0, w=-7.156621655378627e-07
Position: x=-1.4954883732725502e-06, y=2.661084027331323e-13, z=0.0, w=-7.156626433537491e-07
Position: x=-1.495242907618081e-06, y=2.659327320756411e-13, z=0.0, w=-7.156631188681136e-07
Position: x=-1.4949974426936945e-06, y=2.6575706182379797e-13, z=0.0, w=-7.156635953831403e-07
Position: x=-1.494751975822421e-06, y=2.655813900616705e-13, z=0.0, w=-7.156640718981662e-07
Position: x=-1.4945065100462712e-06, y=2.6540571896634007e-13, z=0.0, w=-7.1566454821306e-07
Position: x=-1.49426104381382e-06, y=2.6523004742783867e-13, z=0.0, w=-7.156650220263003e-07
Position: x=-1.4940155772771675e-06, y=2.6505437555476093e-13, z=0.0, w=-7.156655004425833e-07
Position: x=-1.4937701098279117e-06, y=2.6487870291152206e-13, z=0.0, w=-7.156659756567499e-07
Position: x=-1.4935246427132773e-06, y=2.6470303039129505e-13, z=0.0, w=-7.156664493699239e-07
Position: x=-1.4932791736213356e-06, y=2.6452735633928873e-13, z=0.0, w=-7.15666926385281e-07
Position: x=-1.493033702673767e-06, y=2.643516808424367e-13, z=0.0, w=-7.156674012992485e-07
Position: x=-1.4927882313003171e-06, y=2.6417600492416833e-13, z=0.0, w=-7.156678766134812e-07
Position: x=-1.4925427600181274e-06, y=2.640003289542043e-13, z=0.0, w=-7.156683546294997e-07
Position: x=-1.4922972879145947e-06, y=2.638246522794971e-13, z=0.0, w=-7.156688293433352e-07
Position: x=-1.4920518168453459e-06, y=2.636489762281956e-13, z=0.0, w=-7.15669306258626e-07
Position: x=-1.4918063450155942e-06, y=2.634732995159863e-13, z=0.0, w=-7.156697796716014e-07
Position: x=-1.4915608728816414e-06, y=2.6329762246968797e-13, z=0.0, w=-7.156702544855031e-07
Position: x=-1.4913153998959255e-06, y=2.631219446974017e-13, z=0.0, w=-7.156707280986113e-07
Position: x=-1.4910699268797894e-06, y=2.62946266787024e-13, z=0.0, w=-7.156712022120497e-07
Position: x=-1.4908244534073518e-06, y=2.6277058843410753e-13, z=0.0, w=-7.156716730233049e-07
Position: x=-1.4905789804216358e-06, y=2.6259491031385414e-13, z=0.0, w=-7.156721446350898e-07
Position: x=-1.4903335067362573e-06, y=2.62419231576944e-13, z=0.0, w=-7.156726175477345e-07
Position: x=-1.4900880326554173e-06, y=2.6224355244147793e-13, z=0.0, w=-7.156730859574022e-07
Position: x=-1.489842559000459e-06, y=2.6206787349537937e-13, z=0.0, w=-7.156735579694515e-07
Position: x=-1.4895970849196191e-06, y=2.618921941287203e-13, z=0.0, w=-7.156740291809716e-07
Position: x=-1.4893516107170986e-06, y=2.6171651455947927e-13, z=0.0, w=-7.156744989915656e-07
Position: x=-1.4891061361799571e-06, y=2.6154083463549347e-13, z=0.0, w=-7.156749683018286e-07
Position: x=-1.4888606616732355e-06, y=2.613651546179151e-13, z=0.0, w=-7.156754389129516e-07
Position: x=-1.4886151866493722e-06, y=2.611894741149903e-13, z=0.0, w=-7.156759072225535e-07
Position: x=-1.4883697109258462e-06, y=2.6101379299619126e-13, z=0.0, w=-7.156763770331475e-07
Position: x=-1.4881242341680365e-06, y=2.608381110219261e-13, z=0.0, w=-7.156768462433443e-07
Position: x=-1.4878787550678784e-06, y=2.606624272565208e-13, z=0.0, w=-7.156773121513584e-07
Position: x=-1.4876332747204957e-06, y=2.604867424838518e-13, z=0.0, w=-7.15677780360894e-07
Position: x=-1.4873877946164739e-06, y=2.603110577708813e-13, z=0.0, w=-7.156782447679156e-07
Position: x=-1.4871423143299313e-06, y=2.601353728132083e-13, z=0.0, w=-7.156787097753341e-07
Position: x=-1.4868968340129688e-06, y=2.599596877195528e-13, z=0.0, w=-7.156791752830833e-07
Position: x=-1.4866513529659234e-06, y=2.5978400198934016e-13, z=0.0, w=-7.156796389896417e-07
Position: x=-1.4864058718884578e-06, y=2.5960831612366034e-13, z=0.0, w=-7.156801015954723e-07
Position: x=-1.4861603909022527e-06, y=2.5943263020940123e-13, z=0.0, w=-7.156805669030895e-07
Position: x=-1.4859149095205863e-06, y=2.5925694389785697e-13, z=0.0, w=-7.15681032510905e-07
Position: x=-1.4856694279868192e-06, y=2.590812573630977e-13, z=0.0, w=-7.156814986190515e-07
Position: x=-1.4854239460880108e-06, y=2.589055704525413e-13, z=0.0, w=-7.156819657278591e-07
Position: x=-1.4851784640675219e-06, y=2.5872988334047916e-13, z=0.0, w=-7.156824308353438e-07
Position: x=-1.4849329820166128e-06, y=2.585541960921879e-13, z=0.0, w=-7.1568289824435e-07
Position: x=-1.4846874996310826e-06, y=2.583785084901032e-13, z=0.0, w=-7.156833621510409e-07
Position: x=-1.4844420170326116e-06, y=2.582028206214324e-13, z=0.0, w=-7.156838285593857e-07
Position: x=-1.4841965339169989e-06, y=2.5802713226868436e-13, z=0.0, w=-7.156842906648857e-07
Position: x=-1.483951050040883e-06, y=2.578514432584013e-13, z=0.0, w=-7.156847512693935e-07
Position: x=-1.483705566621069e-06, y=2.576757544608418e-13, z=0.0, w=-7.156852181780687e-07
Position: x=-1.4834600830187345e-06, y=2.5750006541838054e-13, z=0.0, w=-7.156856822848919e-07
Position: x=-1.4832145968915306e-06, y=2.5732437445565085e-13, z=0.0, w=-7.156861408880768e-07
Position: x=-1.4829691112814687e-06, y=2.571486837500219e-13, z=0.0, w=-7.156866029935767e-07
Position: x=-1.4827236269490515e-06, y=2.569729938450268e-13, z=0.0, w=-7.156870677007969e-07
Position: x=-1.482478142008232e-06, y=2.567973033906996e-13, z=0.0, w=-7.156875310070908e-07
Position: x=-1.48223265639817e-06, y=2.5662161234403747e-13, z=0.0, w=-7.156879913114e-07
Position: x=-1.4819871714573505e-06, y=2.564459216627813e-13, z=0.0, w=-7.156884562187522e-07
Position: x=-1.4817416850867858e-06, y=2.562702298444765e-13, z=0.0, w=-7.156889184243184e-07
Position: x=-1.4814961958263105e-06, y=2.560945358450308e-13, z=0.0, w=-7.156893757266432e-07
Position: x=-1.4812507058357525e-06, y=2.5591884121085877e-13, z=0.0, w=-7.156898326287031e-07
Position: x=-1.481005215906035e-06, y=2.557431465078191e-13, z=0.0, w=-7.156902915320862e-07
Position: x=-1.4807597260675774e-06, y=2.555674517573512e-13, z=0.0, w=-7.156907511359326e-07
Position: x=-1.4805142357423982e-06, y=2.553917565460323e-13, z=0.0, w=-7.156912081380587e-07
Position: x=-1.4802687452651186e-06, y=2.5521606111380195e-13, z=0.0, w=-7.156916640394571e-07
Position: x=-1.4800232545140578e-06, y=2.550403653732793e-13, z=0.0, w=-7.15692123443171e-07
Position: x=-1.479777763702157e-06, y=2.5486466947680293e-13, z=0.0, w=-7.156925798449002e-07
Position: x=-1.4795322726773154e-06, y=2.5468897331569974e-13, z=0.0, w=-7.156930377476219e-07
Position: x=-1.4792867809528111e-06, y=2.545132765410364e-13, z=0.0, w=-7.156934989525263e-07
Position: x=-1.479041288984946e-06, y=2.5433757947988804e-13, z=0.0, w=-7.156939527525359e-07
Position: x=-1.4787957968954006e-06, y=2.541618822197337e-13, z=0.0, w=-7.156944107553239e-07
Position: x=-1.4785503049275354e-06, y=2.5398618493435214e-13, z=0.0, w=-7.1569486775745e-07
Position: x=-1.47830481286841e-06, y=2.5381048747137966e-13, z=0.0, w=-7.156953254600389e-07
Position: x=-1.4780593203529829e-06, y=2.536347895692138e-13, z=0.0, w=-7.156957852640174e-07
Position: x=-1.477813827563775e-06, y=2.5345909135831156e-13, z=0.0, w=-7.15696244367533e-07
Position: x=-1.4775683344399455e-06, y=2.5328339279527686e-13, z=0.0, w=-7.156967029707178e-07
Position: x=-1.4773228408293944e-06, y=2.531076937713375e-13, z=0.0, w=-7.1569716137377e-07
Position: x=-1.4770773470059024e-06, y=2.529319944825971e-13, z=0.0, w=-7.156976186760947e-07
Position: x=-1.4768318532736709e-06, y=2.5275629514655043e-13, z=0.0, w=-7.156980788803376e-07
Position: x=-1.4765863588721969e-06, y=2.525805952190176e-13, z=0.0, w=-7.156985352820672e-07
Position: x=-1.4763408643186222e-06, y=2.5240489507064384e-13, z=0.0, w=-7.156989911834657e-07
Position: x=-1.4760953699475683e-06, y=2.5222919494078225e-13, z=0.0, w=-7.156994486859228e-07
Position: x=-1.475849874907272e-06, y=2.5205349421972804e-13, z=0.0, w=-7.156999053878503e-07
Position: x=-1.475604378558911e-06, y=2.5187779245053326e-13, z=0.0, w=-7.15700360788918e-07
Position: x=-1.4753588798377811e-06, y=2.517020888715683e-13, z=0.0, w=-7.15700814388795e-07
Position: x=-1.4751133807820303e-06, y=2.515263849418916e-13, z=0.0, w=-7.157012668879446e-07
Position: x=-1.4748678818783799e-06, y=2.513506810100223e-13, z=0.0, w=-7.157017190868952e-07
Position: x=-1.4746223822446467e-06, y=2.5117497644419936e-13, z=0.0, w=-7.15702174688095e-07
Position: x=-1.4743768827934344e-06, y=2.509992718980168e-13, z=0.0, w=-7.157026232846642e-07
Position: x=-1.474131381942897e-06, y=2.5082356623998195e-13, z=0.0, w=-7.157030736824247e-07
Position: x=-1.4738858820049628e-06, y=2.506478611244536e-13, z=0.0, w=-7.157035246805814e-07
Position: x=-1.4736403816107269e-06, y=2.5047215557178806e-13, z=0.0, w=-7.157039743778787e-07
Position: x=-1.4733948809731301e-06, y=2.5029644973415425e-13, z=0.0, w=-7.157044272772921e-07
Position: x=-1.473149379970492e-06, y=2.5012074352451374e-13, z=0.0, w=-7.157048765743244e-07
Position: x=-1.4729038789070137e-06, y=2.4994503716102667e-13, z=0.0, w=-7.157053258713568e-07
Position: x=-1.4726583772351332e-06, y=2.497693302519964e-13, z=0.0, w=-7.157057735673305e-07
Position: x=-1.4724128747114897e-06, y=2.495936226229528e-13, z=0.0, w=-7.15706225265951e-07
Position: x=-1.4721673715794438e-06, y=2.494179144480699e-13, z=0.0, w=-7.157066729619246e-07
Position: x=-1.4719218697858827e-06, y=2.4924220712133735e-13, z=0.0, w=-7.157071198573693e-07
Position: x=-1.4716763678706414e-06, y=2.4906649959782823e-13, z=0.0, w=-7.157075665526815e-07
Position: x=-1.471430865651199e-06, y=2.488907917466406e-13, z=0.0, w=-7.157080156495818e-07
Position: x=-1.4711853630667152e-06, y=2.487150835241813e-13, z=0.0, w=-7.157084627451585e-07
Position: x=-1.4709398591741667e-06, y=2.4853937425555675e-13, z=0.0, w=-7.157089115418601e-07
Position: x=-1.470694351965826e-06, y=2.483636625038415e-13, z=0.0, w=-7.157093584373047e-07
Position: x=-1.4704488450616864e-06, y=2.4818795086025264e-13, z=0.0, w=-7.157098043320876e-07
Position: x=-1.470203337883766e-06, y=2.480122389110125e-13, z=0.0, w=-7.157102521281278e-07
